nragt,CUTh,comm,activ,ident,age,educ,jornada,jobcat,rama,telew,sector,CUTw,idrph,income,forml,risk,DailyIncome,WactualizationFactor,ACTIVOS,TrabajaEnRM,Commuter,group,place
45,13,0,3,0,15,3,99,0,99,99,99,99,1411,99,99,99,99,99,0,0,0,99,99
46,13,0,3,1,15,2,99,0,99,99,99,99,1511,99,99,99,99,99,0,0,0,99,99
11,10,0,1,2,17,1,2,2,16,1,2,10,12211,84901.99227,2,1,2930.067244,1.052590741,1,1,0,3,3
18,10,0,1,3,10,3,1,2,18,1,2,10,12311,448474.2572,2,1,15630.69209,1.063017779,1,1,0,3,3
27,10,0,2,4,7,2,99,0,99,99,99,99,12411,99,99,99,99,99,0,0,0,99,99
34,10,0,3,5,9,4,99,0,99,99,99,99,12511,99,99,99,99,99,0,0,0,99,99
55,10,0,3,6,4,1,99,0,99,99,99,99,12711,99,99,99,99,99,0,0,0,99,99
48,10,0,0,7,3,99,99,0,99,99,99,99,12811,99,99,99,99,99,0,0,0,99,99
18,10,0,3,8,15,1,99,0,99,99,99,99,13111,99,99,99,99,99,0,0,0,99,99
23,10,2,1,9,6,2,1,3,8,0,1,9,13211,396202.6957,1,0,14136.82727,1.088264256,1,1,1,8,4
26,10,2,1,10,5,2,1,3,8,0,1,38,13311,343957.0737,1,0,12272.66193,1.088264256,1,1,1,4,1
24,10,0,0,11,2,1,99,0,99,99,99,99,13411,99,99,99,99,99,0,0,0,99,99
53,18,2,1,12,10,3,1,2,19,1,1,0,28711,448474.2572,1,1,15672.684,1.06587358,1,1,1,5,1
40,18,0,3,13,7,2,99,0,99,99,99,99,28811,99,99,99,99,99,0,0,0,99,99
51,18,0,0,14,2,1,99,0,99,99,99,99,28911,99,99,99,99,99,0,0,0,99,99
39,18,0,0,15,1,1,99,0,99,99,99,99,29011,99,99,99,99,99,0,0,0,99,99
43,18,0,0,16,1,1,99,0,99,99,99,99,29111,99,99,99,99,99,0,0,0,99,99
