cut order (id spatial unit),Municipality (Comuna)
0,Santiago
1,Cerrillos
2,Cerro Navia
3,Conchalí
4,El Bosque
5,Estación Central
6,Huechuraba
7,Independencia
8,La Cisterna
9,La Florida
10,La Granja
11,La Pintana
12,La Reina
13,Las Condes
14,Lo Barnechea
15,Lo Espejo
16,Lo Prado
17,Macul
18,Maipú
19,Ñuñoa
20,Pedro Aguirre Cerda
21,Peñalolén
22,Providencia
23,Pudahuel
24,Quilicura
25,Quinta Normal
26,Recoleta
27,Renca
28,San Joaquín
29,San Miguel
30,San Ramón
31,Vitacura
32,Puente Alto
33,Pirque
34,San José de Maipo
35,Colina
36,Lampa
37,Tiltil
38,San Bernardo
39,Buin
40,Calera de Tango
41,Paine
42,Melipilla
43,Curacaví
44,María Pinto
45,San Pedro
46,Talagante
47,El Monte
48,Isla de Maipo
49,Padre Hurtado
50,Peñaflor
